image_name,caption
111285749.jpg, Five men 
111285749.jpg, A person is hanging up pictures of women with a few onlookers watching surrounded by bikes .
111285749.jpg, A man in a white shirt hangs a painting in a run down store while other men watch .
111285749.jpg, There are four Eastern guys working on and hanging pictures of humans .
111285749.jpg, A man is putting up a poster in front of a shop .
1131800850.jpg, A furry dog attempts to dry itself by shaking the water off its coat .
1131800850.jpg, A brown and white dog stands outside while it snows .
1131800850.jpg, The large brown and white dog shakes off water .
1131800850.jpg, A dog is looking at something near the water .
1131800850.jpg, A white and brown dog shaking its self dry .
113678030.jpg, A snowboarder sits on a slope with skiers and boarders nearby .
113678030.jpg, Snowboarders sitting in the snow while skiers take the hill .
113678030.jpg, A snowboarder takes a rest on the mountainside .
113678030.jpg, Two skiers stand 
113678030.jpg, The snowboarder is sitting down .
11382381.jpg, A woman wearing a green tank top is working on a horse 's shoe .
11382381.jpg, A woman in a green tank top puts a horseshoe on a horse .
11382381.jpg, A woman in a green shirt is working on a horse 's hoof .
11382381.jpg, A female blacksmith is shoeing a horse .
11382381.jpg, A woman is shoeing a horse .
116664780.jpg, A young child in a striped sweatshirt brushes the hair of a younger child .
116664780.jpg, A small boy is brushing a baby 's hair who has a blank facial expression .
116664780.jpg, A boy is combing a baby 's hair with a brush .
116664780.jpg, A child is brushing an infant 's hair .
116664780.jpg, Young boy brushing a baby 's hair .
1174629344.jpg, A group of different people are walking in all different directions in a city .
1174629344.jpg, People in summer clothes are walking on the sidewalk of a large city .
1174629344.jpg, A group of people walking a city street in warm weather .
1174629344.jpg, Busy intersection in the summer time in a city
1174629344.jpg, A crowd of people walk down a busy sidewalk .
1193116658.jpg, A young girl rides a unicycle next to another riding a scooter on a busy street .
1193116658.jpg, The girl on the unicycle reaches out for the child on the scooter .
1193116658.jpg, A girl rides a unicycle as another rides a scooter next to her .
1193116658.jpg, A girl rides a unicycle with a child who rides a scooter .
1193116658.jpg, There is a girl on a unicycle and a child on a scooter .
1205490378.jpg, A view from above of a young woman sitting behind a green both under a sign offering programs and ice cream .
1205490378.jpg, A woman sitting at a desk labeled Programmes and Ice Cream 
1205490378.jpg," A woman in a black shirt sitting behind a booth with a sign that reads "" Programmes & Ice Cream . """
1205490378.jpg, A young women sits at a vending stall labeled ice creams and programs .
1205490378.jpg, A white female sitting behind a programmes and ice cream stand .
1260501563.jpg, Three dogs on the beach 
1260501563.jpg, Three dogs are walking on sand and casting shadows .
1260501563.jpg, The 3 dogs are cruising down the street .
1260501563.jpg, The three dogs are walking on the sand .
1260501563.jpg, Three dogs trot down the beach .
132421833.jpg, A bald man in an orange shirt and jeans is vacuuming an office carpet with a carry-along canister vacuum .
132421833.jpg, A man in a yellow shirt vacuums a floor while looking at the camera .
132421833.jpg, One man 
132421833.jpg, The janitor is vacuuming the floor to make it ready for the day .
132421833.jpg, A guy vacuuming his room .
1332208215.jpg, A man in glasses and an Asian woman are seated across from each other in a subway train .
1332208215.jpg, Two men and one woman are sitting in a subway train .
1332208215.jpg, Several people sit on a train .
1332208215.jpg, People sit inside a train .
1332208215.jpg, People on a subway .
135444722.jpg, A young woman in black is standing in front of a wall with writing 
135444722.jpg, women in a black shirt standing with a bottle of water in hand in front of wall with Greek writing on it .
135444722.jpg, A woman wearing black with black hair is standing in front of a wall with writing in multiple languages .
135444722.jpg, A woman is looking upset holding a water bottle in front of a wall with writing on it .
135444722.jpg, Female African American holding a blue object in front of a wall with writing on it .
13651137.jpg, A man wearing black pants is holding up a jackhammer next to a broken cement walkway .
13651137.jpg, A man working at the side of the road with a grill .
13651137.jpg, a man in a gray shirt and a hat holding a jackhammer
13651137.jpg, A man is using a jackhammer to work on a sidewalk .
13651137.jpg, A man with a jackhammer demolishing cement
136644343.jpg, Young boy smiles at the camera from the tire swing .
136644343.jpg, A small boy in a horizontal tire swing .
136644343.jpg, Young boy swinging on a tire swing .
136644343.jpg, A boy swinging on a tire swing .
136644343.jpg, A boy rides on a tire swing .
137430967.jpg, So many people came out with their sweatshirts 
137430967.jpg, A large group of people sit outside wearing sweatshirts 
137430967.jpg, A group of spectators outside in the cold 
137430967.jpg, Gathering of people on a cold day .
137430967.jpg, a lot of people bundled up together
1388346434.jpg, A man 
1388346434.jpg, A man with a white mustache stands on a balcony looking at the road below .
1388346434.jpg, A man with gray hair and a plaid shirt looks out over a balcony .
1388346434.jpg, An elder man overlooks a balcony facing a street .
1388346434.jpg, Man leaning on ledge of a balcony .
1409723496.jpg, A man with dark hair is wearing a white shirt with printed flames and is holding a pair of tongs .
1409723496.jpg, A man in a colorful button-up t-shirt is pouring what appears to be barbecue sauce onto something .
1409723496.jpg, A man in a flame-themed shirt is looking at barbecue tools .
1409723496.jpg, A man in a restaurant having lunch .
1409723496.jpg, An old man gets some barbecue
